iter	Passed	Remaining
654	1950	1027
655	1953	1024
656	1956	1021
657	1959	1018
658	1963	1016
659	1966	1013
660	1969	1010
661	1972	1006
662	1974	1003
663	1977	1000
664	1980	997
665	1982	994
666	1986	991
667	1988	988
668	1991	985
669	1994	982
670	1996	979
671	2000	976
672	2002	973
673	2005	970
674	2008	966
675	2010	963
676	2013	960
677	2015	957
678	2018	954
679	2021	951
680	2023	948
681	2026	944
682	2029	941
683	2032	938
684	2034	935
685	2037	932
686	2040	929
687	2042	926
688	2045	923
689	2049	920
690	2051	917
691	2054	914
692	2057	911
693	2060	908
694	2063	905
695	2066	902
696	2068	899
697	2071	896
698	2074	893
699	2076	890
700	2080	887
701	2082	884
702	2085	881
703	2088	877
704	2090	874
705	2093	871
706	2096	868
707	2098	865
708	2101	862
709	2104	859
710	2107	856
711	2110	853
712	2112	850
713	2115	847
714	2118	844
715	2121	841
716	2123	838
717	2127	835
718	2130	832
719	2133	829
720	2136	826
721	2139	823
722	2142	820
723	2145	817
724	2148	814
725	2151	811
726	2154	809
727	2158	806
728	2162	803
729	2165	800
730	2167	797
731	2171	794
732	2174	791
733	2177	789
734	2180	786
735	2183	783
736	2187	780
737	2189	777
738	2192	774
739	2195	771
740	2197	768
741	2200	765
742	2203	762
743	2205	758
744	2208	755
745	2211	752
746	2213	749
747	2217	746
748	2219	743
749	2222	740
750	2225	737
751	2228	734
752	2230	731
753	2233	728
754	2236	725
755	2239	722
756	2241	719
757	2244	716
758	2247	713
759	2250	710
760	2252	707
761	2255	704
762	2258	701
763	2261	698
764	2264	695
765	2267	692
766	2269	689
767	2272	686
768	2275	683
769	2279	680
770	2282	677
771	2285	674
772	2288	671
773	2290	668
774	2293	665
775	2296	662
776	2299	659
777	2302	656
778	2304	653
779	2307	650
780	2309	647
781	2312	644
782	2314	641
783	2317	638
784	2320	635
785	2322	632
786	2325	629
787	2328	626
788	2330	623
789	2333	620
790	2335	617
791	2338	614
792	2341	611
793	2343	608
794	2346	605
795	2348	601
796	2351	598
797	2354	595
798	2356	592
799	2359	589
800	2361	586
801	2364	583
802	2366	580
803	2369	577
804	2371	574
805	2374	571
806	2377	568
807	2379	565
808	2382	562
809	2385	559
810	2387	556
811	2390	553
812	2392	550
813	2395	547
814	2398	544
815	2400	541
816	2403	538
817	2405	535
818	2408	532
819	2411	529
820	2414	526
821	2416	523
822	2419	520
823	2422	517
824	2424	514
825	2427	511
826	2429	508
827	2432	505
828	2435	502
829	2437	499
830	2441	496
831	2444	493
832	2448	490
833	2452	488
834	2455	485
835	2458	482
836	2461	479
837	2464	476
838	2466	473
839	2469	470
840	2472	467
841	2474	464
842	2477	461
843	2480	458
844	2483	455
845	2486	452
846	2489	449
847	2492	446
848	2496	444
849	2499	441
850	2504	438
851	2508	435
852	2511	432
853	2513	429
854	2517	426
855	2519	423
856	2522	420
857	2525	417
858	2528	415
859	2531	412
860	2534	409
861	2536	406
862	2539	403
863	2542	400
864	2545	397
865	2548	394
866	2551	391
867	2554	388
868	2558	385
869	2561	382
870	2564	379
871	2566	376
872	2569	373
873	2572	370
874	2575	367
875	2578	364
876	2581	362
877	2583	359
878	2586	356
879	2589	353
880	2592	350
881	2594	347
882	2597	344
883	2599	341
884	2602	338
885	2605	335
886	2607	332
887	2610	329
888	2613	326
889	2615	323
890	2618	320
891	2621	317
892	2624	314
893	2626	311
894	2629	308
895	2632	305
896	2635	302
897	2637	299
898	2640	296
899	2643	293
900	2645	290
901	2648	287
902	2651	284
903	2653	281
904	2657	278
905	2659	275
906	2664	273
907	2668	270
908	2671	267
909	2675	264
910	2681	261
911	2685	259
912	2689	256
913	2694	253
914	2698	250
915	2701	247
916	2704	244
917	2706	241
918	2709	238
919	2712	235
920	2715	232
921	2718	229
922	2720	226
923	2724	224
924	2727	221
925	2730	218
926	2733	215
927	2737	212
928	2739	209
929	2742	206
930	2745	203
931	2748	200
932	2751	197
933	2754	194
934	2757	191
935	2760	188
936	2763	185
937	2765	182
938	2768	179
939	2771	176
940	2774	173
941	2777	171
942	2779	168
943	2783	165
944	2785	162
945	2788	159
946	2791	156
947	2794	153
948	2797	150
949	2799	147
950	2802	144
951	2806	141
952	2810	138
953	2813	135
954	2816	132
955	2819	129
956	2822	126
957	2825	123
958	2827	120
959	2830	117
960	2832	114
961	2835	112
962	2837	109
963	2840	106
964	2843	103
965	2845	100
966	2848	97
967	2850	94
968	2853	91
969	2855	88
970	2858	85
971	2861	82
972	2863	79
973	2865	76
974	2868	73
975	2871	70
976	2873	67
977	2876	64
978	2878	61
979	2881	58
980	2884	55
981	2886	52
982	2889	49
983	2891	47
984	2894	44
985	2896	41
986	2899	38
987	2902	35
988	2905	32
